problem,method,level,numerical,analytical,absolute_error,relative_error_percent
Infinite square well,Finite difference,1,4.934404339430072,4.934802200544679,0.00039786111460671236,0.008062351811442381
Infinite square well,Finite difference,2,19.73284364020156,19.739208802178716,0.006365161977157641,0.03224628728004075
Infinite square well,Finite difference,3,44.38100136804195,44.41321980490211,0.03221843686016257,0.07254244795061325
Infinite square well,Finite difference,4,78.85503202221508,78.95683520871486,0.10180318649977949,0.1289352419339915
Infinite square well,Finite difference,5,123.12158420454132,123.37005501361698,0.24847080907565555,0.20140285180891795
Infinite square well,Shooting,1,4.934802200551944,4.934802200544679,7.265299473147024e-12,1.4722574842706192e-10
Infinite square well,Shooting,2,19.739208802208008,19.739208802178716,2.929212428171013e-11,1.4839563518106668e-10
Infinite square well,Shooting,3,44.413219804970545,44.41321980490211,6.843237088105525e-11,1.5408108482488816e-10
Harmonic oscillator,Finite difference,0,0.4996934695327832,0.5,0.00030653046721679233,0.06130609344335847
Harmonic oscillator,Shooting,0,0.5000000000775513,0.5,7.755129871611643e-11,1.5510259743223287e-08
